code,name,pop
ABW,Aruba,106537
AFE,Africa Eastern and Southern,702977106
AFG,Afghanistan,40099462
AFW,Africa Western and Central,478185907
AGO,Angola,34503774
ALB,Albania,2811666
AND,Andorra,79034
ARB,Arab World,456520777
ARE,United Arab Emirates,9365145
ARG,Argentina,45808747
ARM,Armenia,2790974
ASM,American Samoa,45035
ATG,Antigua and Barbuda,93219
AUS,Australia,25685412
AUT,Austria,8955797
AZE,Azerbaijan,10137750
BDI,Burundi,12551213
BEL,Belgium,11586195
BEN,Benin,12996895
BFA,Burkina Faso,22100683
BGD,Bangladesh,169356251
BGR,Bulgaria,6877743
BHR,Bahrain,1463265
BHS,"Bahamas, The",407906
BIH,Bosnia and Herzegovina,3270943
BLR,Belarus,9302585
BLZ,Belize,400031
BMU,Bermuda,63764
BOL,Bolivia,12079472
BRA,Brazil,214326223
BRB,Barbados,281200
BRN,Brunei Darussalam,445373
BTN,Bhutan,777486
BWA,Botswana,2588423
CAF,Central African Republic,5457154
CAN,Canada,38239864
CEB,Central Europe and the Baltics,101413157
CHE,Switzerland,8704546
CHI,Channel Islands,172683
CHL,Chile,19493184
CHN,China,1412360000
CIV,Cote d'Ivoire,27478249
CMR,Cameroon,27198628
COD,"Congo, Dem. Rep.",95894118
COG,"Congo, Rep.",5835806
COL,Colombia,51516562
COM,Comoros,821625
CPV,Cabo Verde,587925
CRI,Costa Rica,5153957
CSS,Caribbean small states,3128519
CUB,Cuba,11256372
CUW,Curacao,152369
CYM,Cayman Islands,68136
CYP,Cyprus,1244188
CZE,Czechia,10505772
DEU,Germany,83196078
DJI,Djibouti,1105557
DMA,Dominica,72412
DNK,Denmark,5856733
DOM,Dominican Republic,11117873
DZA,Algeria,44177969
EAP,East Asia & Pacific (excluding high income),2123610397
EAR,Early-demographic dividend,3411268373
EAS,East Asia & Pacific,2370214403
ECA,Europe & Central Asia (excluding high income),250663105
ECS,Europe & Central Asia,924168763
ECU,Ecuador,17797737
EGY,"Egypt, Arab Rep.",109262178
EMU,Euro area,346942960
ERI,Eritrea,3620312
ESP,Spain,47415794
EST,Estonia,1330932
ETH,Ethiopia,120283026
EUU,European Union,447178093
FCS,Fragile and conflict affected situations,1001870564
FIN,Finland,5541017
FJI,Fiji,924610
FRA,France,67764304
FRO,Faroe Islands,52889
FSM,"Micronesia, Fed. Sts.",113131
GAB,Gabon,2341179
GBR,United Kingdom,67026292
GEO,Georgia,3708610
GHA,Ghana,32833031
GIB,Gibraltar,32669
GIN,Guinea,13531906
GMB,"Gambia, The",2639916
GNB,Guinea-Bissau,2060721
GNQ,Equatorial Guinea,1634466
GRC,Greece,10569207
GRD,Grenada,124610
GRL,Greenland,56653
GTM,Guatemala,17109746
GUM,Guam,170534
GUY,Guyana,804567
HIC,High income,1392964458
HKG,"Hong Kong SAR, China",7413100
HND,Honduras,10278345
HPC,Heavily indebted poor countries (HIPC),861156745
HRV,Croatia,3878981
HTI,Haiti,11447569
HUN,Hungary,9709891
IBD,IBRD only,4894666421
IBT,IDA & IBRD total,6696373761
IDA,IDA total,1801707340
IDB,IDA blend,596608333
IDN,Indonesia,273753191
IDX,IDA only,1205099007
IMN,Isle of Man,84263
IND,India,1407563842
INX,Not classified,
IRL,Ireland,5033164
IRN,"Iran, Islamic Rep.",87923432
IRQ,Iraq,43533592
ISL,Iceland,372520
ISR,Israel,9371400
ITA,Italy,59133173
JAM,Jamaica,2827695
JOR,Jordan,11148278
JPN,Japan,125681593
KAZ,Kazakhstan,19191356
KEN,Kenya,53005614
KGZ,Kyrgyz Republic,6773400
KHM,Cambodia,16589023
KIR,Kiribati,128874
KNA,St. Kitts and Nevis,47606
KOR,"Korea, Rep.",51769539
KWT,Kuwait,4250114
LAC,Latin America & Caribbean (excluding high income),592503434
LAO,Lao PDR,7425057
LBN,Lebanon,5592631
LBR,Liberia,5193416
LBY,Libya,6735277
LCA,St. Lucia,179651
LCN,Latin America & Caribbean,654978670
LDC,Least developed countries: UN classification,1098791080
LIC,Low income,685250041
LIE,Liechtenstein,39039
LKA,Sri Lanka,22156000
LMC,Lower middle income,2983113040
LMY,Low & middle income,6467799496
LSO,Lesotho,2281454
LTE,Late-demographic dividend,2323185156
LTU,Lithuania,2800839
LUX,Luxembourg,640064
LVA,Latvia,1884490
MAC,"Macao SAR, China",686607
MAF,St. Martin (French part),31948
MAR,Morocco,37076584
MCO,Monaco,36686
MDA,Moldova,2595809
MDG,Madagascar,28915653
MDV,Maldives,521457
MEA,Middle East & North Africa,486174763
MEX,Mexico,126705138
MHL,Marshall Islands,42050
MIC,Middle income,5782549455
MKD,North Macedonia,1837114
MLI,Mali,21904983
MLT,Malta,518536
MMR,Myanmar,53798084
MNA,Middle East & North Africa (excluding high income),418047201
MNE,Montenegro,619211
MNG,Mongolia,3347782
MNP,Northern Mariana Islands,49481
MOZ,Mozambique,32077072
MRT,Mauritania,4614974
MUS,Mauritius,1266334
MWI,Malawi,19889742
MYS,Malaysia,33573874
NAC,North America,370352605
NAM,Namibia,2530151
NCL,New Caledonia,270390
NER,Niger,25252722
NGA,Nigeria,213401323
NIC,Nicaragua,6850540
NLD,Netherlands,17533044
NOR,Norway,5408320
NPL,Nepal,30034989
NRU,Nauru,12511
NZL,New Zealand,5111300
OED,OECD members,1371972508
OMN,Oman,4520471
OSS,Other small states,13943732
PAK,Pakistan,231402117
PAN,Panama,4351267
PER,Peru,33715471
PHL,Philippines,113880328
PLW,Palau,18024
PNG,Papua New Guinea,9949437
POL,Poland,37747124
PRE,Pre-demographic dividend,1011043183
PRI,Puerto Rico,3262693
PRK,"Korea, Dem. People's Rep.",25971909
PRT,Portugal,10361831
PRY,Paraguay,6703799
PSE,West Bank and Gaza,4922749
PSS,Pacific island small states,2602173
PST,Post-demographic dividend,1116651310
PYF,French Polynesia,304032
QAT,Qatar,2688235
ROU,Romania,19122059
RUS,Russian Federation,144746762
RWA,Rwanda,13461888
SAS,South Asia,1901911604
SAU,Saudi Arabia,35950396
SDN,Sudan,45657202
SEN,Senegal,16876720
SGP,Singapore,5453566
SLB,Solomon Islands,707851
SLE,Sierra Leone,8420641
SLV,El Salvador,6314167
SMR,San Marino,33745
SOM,Somalia,17065581
SRB,Serbia,6834326
SSA,Sub-Saharan Africa (excluding high income),1181063755
SSD,South Sudan,10748272
SSF,Sub-Saharan Africa,1181163013
SST,Small states,19674424
STP,Sao Tome and Principe,223107
SUR,Suriname,612985
SVK,Slovak Republic,5447247
SVN,Slovenia,2108079
SWE,Sweden,10415811
SWZ,Eswatini,1192271
SXM,Sint Maarten (Dutch part),40708
SYC,Seychelles,99258
SYR,Syrian Arab Republic,21324367
TCA,Turks and Caicos Islands,45114
TCD,Chad,17179740
TEA,East Asia & Pacific (IDA & IBRD countries),2097669023
TEC,Europe & Central Asia (IDA & IBRD countries),463035774
TGO,Togo,8644829
THA,Thailand,71601103
TJK,Tajikistan,9750064
TKM,Turkmenistan,6341855
TLA,Latin America & the Caribbean (IDA & IBRD countries),639469895
TLS,Timor-Leste,1320942
TMN,Middle East & North Africa (IDA & IBRD countries),413124452
TON,Tonga,106017
TSA,South Asia (IDA & IBRD),1901911604
TSS,Sub-Saharan Africa (IDA & IBRD countries),1181163013
TTO,Trinidad and Tobago,1525663
TUN,Tunisia,12262946
TUR,Turkiye,84147318
TUV,Tuvalu,11204
TWN,Taiwan,23859912
TZA,Tanzania,63588334
UGA,Uganda,45853778
UKR,Ukraine,43848986
UMC,Upper middle income,2799436415
URY,Uruguay,3426260
USA,United States,332048977
UZB,Uzbekistan,34915100
VCT,St. Vincent and the Grenadines,104332
VEN,"Venezuela, RB",28199867
VGB,British Virgin Islands,31122
VIR,Virgin Islands (U.S.),105870
VNM,Viet Nam,97468029
VUT,Vanuatu,319137
WLD,World,7888963821
WSM,Samoa,218764
XKX,Kosovo,1786038
YEM,"Yemen, Rep.",32981641
ZAF,South Africa,59392255
ZMB,Zambia,19473125
ZWE,Zimbabwe,15993524